postcode,eastings,northings,latitude,longitude,town,region
KT1,518500,169000,51.40713,-0.29606,Kingston Upon Thames,Greater London
KT2,519000,170000,51.41602,-0.28854,Kingston Upon Thames,Greater London
KT3,521300,168200,51.39935,-0.25609,Kingston Upon Thames,Greater London
KT4,522300,165800,51.37757,-0.24255,Sutton,Greater London
KT5,519200,167300,51.39171,-0.28657,Kingston Upon Thames,Greater London
KT6,518300,167000,51.3892,-0.2996,Kingston Upon Thames,Greater London
KT9,518200,164200,51.36405,-0.30197,Kingston Upon Thames,Greater London
N1,532000,183800,51.53717,-0.09652,Islington,Greater London
N10,528600,190000,51.59368,-0.14325,Tottenham,Greater London
N11,528900,192200,51.61338,-0.13812,Enfield,Greater London
N12,526300,192300,51.61487,-0.17561,Barnet,Greater London
N13,531400,192900,51.6191,-0.10176,Enfield,Greater London
N14,529500,194500,51.63392,-0.1286,Enfield,Greater London
N15,532900,188800,51.5819,-0.08166,Tottenham,Greater London
N16,533400,186700,51.5629,-0.07525,Hackney,Greater London
N17,533600,190600,51.59791,-0.07088,Tottenham,Greater London
N18,534000,192300,51.61309,-0.06446,Enfield,Greater London
N19,529800,186800,51.56464,-0.12712,Islington,Greater London
N2,526900,189500,51.58957,-0.16797,Barnet,Greater London
N20,526400,193900,51.62923,-0.17359,Barnet,Greater London
N21,531600,194800,51.63612,-0.09816,Enfield,Greater London
N22,530900,190700,51.59944,-0.1098,Tottenham,Greater London
N3,525200,190600,51.59984,-0.1921,Barnet,Greater London
N4,531600,187500,51.57052,-0.1009,Hackney,Greater London
N5,531900,185600,51.55337,-0.09729,Islington,Greater London
N6,528800,187500,51.57116,-0.14129,Tottenham,Greater London
N7,530600,185500,51.55277,-0.11607,Islington,Greater London
N8,530500,188900,51.58335,-0.11625,Tottenham,Greater London
