station_id,station_name,line_id,line,zone
289,West Ham,7,Jubilee Line,2.5
289,West Ham,4,District Line,2.5
289,West Ham,6,Hammersmith & City Line,2.5
290,West Hampstead,7,Jubilee Line,2.0
291,West Harrow,8,Metropolitan Line,5.0
292,West India Quay,13,Docklands Light Railway,2.0
293,West Kensington,4,District Line,2.0
294,West Ruislip,2,Central Line,6.0
295,Whitechapel,4,District Line,2.0
295,Whitechapel,6,Hammersmith & City Line,2.0
295,Whitechapel,5,East London Line,2.0
296,White City,2,Central Line,2.0
297,Willesden Green,7,Jubilee Line,2.5
298,Willesden Junction,1,Bakerloo Line,2.5
299,Wimbledon,4,District Line,3.0
300,Wimbledon Park,4,District Line,3.0
301,Woodford,2,Central Line,4.0
302,Woodside Park,9,Northern Line,4.0
303,Wood Green,10,Piccadilly Line,3.0
304,West Silvertown,13,Docklands Light Railway,3.0
305,Pontoon Dock,13,Docklands Light Railway,3.0
306,London City Airport,13,Docklands Light Railway,3.0
307,King George V,13,Docklands Light Railway,3.0
308,Heathrow Terminal 5,10,Piccadilly Line,6.0
309,Wood Lane,3,Circle Line,2.0
309,Wood Lane,6,Hammersmith & City Line,2.0
