station,line,zone
Watford,Metropolitan Line,7.0
Watford High Street,London Overground,8.0
Watford Junction,London Overground,
Wembley Central,London Overground,4.0
Wembley Central,Bakerloo Line,4.0
Wembley Park,Metropolitan Line,4.0
Wembley Park,Jubilee Line,4.0
West Acton,Central Line,3.0
West Brompton,District Line,2.0
West Brompton,London Overground,2.0
West Croydon,London Overground,5.0
West Drayton,Elizabeth Line,6.0
West Ealing,Elizabeth Line,3.0
West Finchley,Northern Line,4.0
West Ham,Jubilee Line,2.5
West Ham,Hammersmith & City Line,2.5
West Ham,District Line,2.5
West Hampstead,Jubilee Line,2.0
West Hampstead,London Overground,2.0
West Harrow,Metropolitan Line,5.0
West India Quay,Docklands Light Railway,2.0
West Kensington,District Line,2.0
West Ruislip,Central Line,6.0
West Silvertown,Docklands Light Railway,3.0
Westbourne Park,Hammersmith & City Line,2.0
Westferry,Docklands Light Railway,2.0
Westminster,Jubilee Line,1.0
Westminster,District Line,1.0
Westminster,Circle Line,1.0
White City,Central Line,2.0
White Hart Lane,London Overground,3.0
Whitechapel,Hammersmith & City Line,2.0
Whitechapel,Elizabeth Line,2.0
Whitechapel,London Overground,2.0
Whitechapel,District Line,2.0
Willesden Green,Jubilee Line,2.5
Willesden Junction,London Overground,3.0
Willesden Junction,Bakerloo Line,2.5
Wimbledon,District Line,3.0
Wimbledon Park,District Line,3.0
Wood Green,Piccadilly Line,3.0
Wood Lane,Circle Line,2.0
Wood Lane,Hammersmith & City Line,2.0
Wood Street,London Overground,4.0
Woodford,Central Line,4.0
Woodgrange Park,London Overground,3.5
Woodside Park,Northern Line,4.0
Woolwich,Elizabeth Line,4.0
